Symbol
AAPL
ABBV
AMZN
BAC
BRK.B
CVX
GOOG
GOOGL
HD
JNJ
JPM
KO
LLY
MA
META
MSFT
NVDA
PEP
PFE
PG
TSLA
UNH
V
WMT
XOM
