Symbol
AFL
AIG
AON
AXP
BAC
BLK
BRK.B
C
CB
CME
GS
ICE
JPM
MCO
MET
MMC
MS
PGR
PNC
SCHW
SPGI
TFC
TRV
USB
WFC
