Symbol
AAPL
ACN
ADBE
ADI
ADP
AMAT
AMD
AVGO
CRM
CSCO
FISV
IBM
INTC
INTU
LRCX
MA
MSFT
MU
NOW
NVDA
ORCL
PYPL
QCOM
TXN
V
